1,Аяччо , Тулуза ,0,2
1,Брест , Эвиан ,2,2
1,Кан , Валансьен ,1,0
1,Марсель , Сошо ,2,2
1,Монпелье , Осер ,3,1
1,Нанси , Лилль ,1,1
1,Ницца , Лион ,1,3
1,ПСЖ , Лорьян ,0,1
1,Дижон , Ренн ,1,5
1,Бордо , Сент-Этьен ,1,2
2,Лорьян , Бордо ,1,1
2,Лион , Аяччо ,1,1
2,Ренн , ПСЖ ,1,1
2,Сент-Этьен , Нанси ,1,0
2,Сошо , Кан ,1,2
2,Тулуза , Дижон ,2,0
2,Валансьен , Брест ,0,0
2,Осер , Марсель ,2,2
2,Эвиан , Ницца ,1,0
2,Лилль , Монпелье ,0,1
3,Бордо , Осер ,1,1
3,Брест , Лион ,1,1
3,Кан , Лилль ,1,2
3,Дижон , Лорьян ,2,0
3,Ницца , Тулуза ,1,1
3,Аяччо , Эвиан ,1,1
3,Монпелье , Ренн ,4,0
3,ПСЖ , Валансьен ,2,1
3,Нанси , Сошо ,1,2
3,Марсель , Сент-Этьен ,0,0
4,Осер , Аяччо ,4,1
4,Эвиан , Дижон ,0,1
4,Лорьян , Нанси ,2,1
4,Ницца , Брест ,0,0
4,Валансьен , Бордо ,1,2
4,Лион , Монпелье ,2,1
4,Ренн , Кан ,3,2
4,Сошо , Сент-Этьен ,2,1
4,Тулуза , ПСЖ ,1,3
4,Лилль , Марсель ,3,2
5,Аяччо , Валансьен ,3,1
5,Бордо , Эвиан ,0,0
5,Кан , Тулуза ,0,1
5,Дижон , Лион ,1,2
5,Сент-Этьен , Лилль ,1,3
5,Сошо , Лорьян ,1,1
5,Марсель , Ренн ,0,1
5,Монпелье , Ницца ,1,0
5,Нанси , Осер ,0,0
5,ПСЖ , Брест ,1,0
6,Осер , Кан ,1,1
6,Брест , Монпелье ,2,2
6,Лорьян , Сент-Этьен ,3,0
6,Ницца , Аяччо ,3,0
6,Тулуза , Бордо ,3,2
6,Валансьен , Дижон ,4,0
6,Лилль , Сошо ,2,2
6,Эвиан , ПСЖ ,2,2
6,Ренн , Нанси ,1,1
6,Лион , Марсель ,2,0
7,Бордо , Лилль ,1,1
7,Аяччо , Монпелье ,1,3
7,Кан , Лион ,1,0
7,Дижон , Брест ,1,0
7,Лорьян , Осер ,1,1
7,Марсель , Эвиан ,2,0
7,Нанси , Валансьен ,1,1
7,ПСЖ , Ницца ,2,1
7,Сошо , Ренн ,2,6
7,Сент-Этьен , Тулуза ,1,1
8,Эвиан , Кан ,2,4
8,Лилль , Лорьян ,1,1
8,Лион , Бордо ,3,1
8,Ницца , Дижон ,1,1
8,Тулуза , Нанси ,1,0
8,Валансьен , Марсель ,1,1
8,Монпелье , ПСЖ ,0,3
8,Осер , Сошо ,4,1
8,Брест , Аяччо ,1,1
8,Ренн , Сент-Этьен ,1,1
9,Кан , Ницца ,1,1
9,Дижон , Аяччо ,1,1
9,Лорьян , Валансьен ,2,0
9,Нанси , Эвиан ,1,1
9,Сент-Этьен , Осер ,1,1
9,Сошо , Тулуза ,3,0
9,Бордо , Монпелье ,2,2
9,Лилль , Ренн ,2,0
9,Марсель , Брест ,1,1
9,ПСЖ , Лион ,2,0
10,Осер , Лилль ,1,3
10,Брест , Кан ,1,1
10,Эвиан , Сент-Этьен ,1,2
10,Лион , Нанси ,3,1
10,Монпелье , Дижон ,5,3
10,Тулуза , Марсель ,0,0
10,Ницца , Бордо ,3,0
10,Аяччо , ПСЖ ,1,3
10,Валансьен , Сошо ,3,0
10,Ренн , Лорьян ,2,0
11,Бордо , Брест ,1,1
11,Кан , Монпелье ,1,3
11,Марсель , Аяччо ,2,0
11,Нанси , Ницца ,1,0
11,Сент-Этьен , Валансьен ,1,0
11,Сошо , Эвиан ,1,1
11,Лорьян , Тулуза ,0,0
11,Осер , Ренн ,0,1
11,ПСЖ , Дижон ,2,0
11,Лилль , Лион ,3,1
12,Аяччо , Бордо ,0,2
12,Брест , Лорьян ,3,1
12,Дижон , Марсель ,2,3
12,Эвиан , Осер ,3,1
12,ПСЖ , Кан ,4,2
12,Монпелье , Нанси ,2,0
12,Лион , Сент-Этьен ,2,0
12,Ницца , Сошо ,1,1
12,Тулуза , Ренн ,1,0
12,Валансьен , Лилль ,0,0
13,Лилль , Эвиан ,1,1
13,Кан , Дижон ,3,0
13,Лорьян , Аяччо ,2,0
13,Марсель , Ницца ,2,0
13,Нанси , Брест ,2,1
13,Ренн , Валансьен ,1,1
13,Сент-Этьен , Монпелье ,1,1
13,Сошо , Лион ,2,1
13,Осер , Тулуза ,2,0
13,Бордо , ПСЖ ,1,1
14,Лион , Ренн ,1,2
14,Тулуза , Лилль ,0,0
14,Аяччо , Кан ,2,2
14,Дижон , Бордо ,2,0
14,Эвиан , Лорьян ,2,1
14,Ницца , Сент-Этьен ,0,2
14,Монпелье , Марсель ,1,0
14,Брест , Сошо ,2,0
14,Валансьен , Осер ,2,1
14,ПСЖ , Нанси ,0,1
15,Бордо , Кан ,2,0
15,Нанси , Дижон ,1,2
15,Ренн , Эвиан ,3,2
15,Сент-Этьен , Аяччо ,3,1
15,Сошо , Монпелье ,1,3
15,Тулуза , Валансьен ,2,0
15,Лилль , Брест ,2,0
15,Осер , Лион ,0,3
15,Лорьян , Ницца ,1,0
15,Марсель , ПСЖ ,3,0
16,Кан , Марсель ,1,2
16,Аяччо , Лилль ,2,3
16,Брест , Сент-Этьен ,2,2
16,Дижон , Сошо ,0,0
16,Эвиан , Валансьен ,2,1
16,Монпелье , Лорьян ,4,0
16,Ницца , Ренн ,2,0
16,Бордо , Нанси ,2,0
16,ПСЖ , Осер ,3,2
16,Лион , Тулуза ,3,2
17,Нанси , Аяччо ,2,2
17,Ренн , Брест ,1,1
17,Сент-Этьен , Кан ,2,0
17,Сошо , ПСЖ ,0,1
17,Тулуза , Эвиан ,2,1
17,Валансьен , Монпелье ,1,0
17,Марсель , Бордо ,0,0
17,Осер , Ницца ,2,1
17,Лилль , Дижон ,2,0
17,Лорьян , Лион ,0,1
18,Брест , Осер ,1,0
18,Кан , Нанси ,1,2
18,Дижон , Сент-Этьен ,1,2
18,Марсель , Лорьян ,2,1
18,Монпелье , Тулуза ,1,1
18,Ницца , Валансьен ,2,0
18,Лион , Эвиан ,2,1
18,Аяччо , Ренн ,1,0
18,Бордо , Сошо ,1,0
18,ПСЖ , Лилль ,0,0
19,Нанси , Марсель ,1,3
19,Осер , Дижон ,2,2
19,Эвиан , Монпелье ,4,2
19,Лилль , Ницца ,4,4
19,Лорьян , Кан ,0,0
19,Ренн , Бордо ,1,0
19,Сошо , Аяччо ,0,2
19,Тулуза , Брест ,0,0
19,Валансьен , Лион ,1,0
19,Сент-Этьен , ПСЖ ,0,1
20,Аяччо , Осер ,2,1
20,Бордо , Валансьен ,2,1
20,Брест , Ницца ,1,0
20,Кан , Ренн ,0,2
20,Дижон , Эвиан ,3,1
20,Монпелье , Лион ,1,0
20,Нанси , Лорьян ,2,2
20,ПСЖ , Тулуза ,3,1
20,Сент-Этьен , Сошо ,1,0
20,Марсель , Лилль ,2,0
21,Осер , Нанси ,1,3
21,Брест , ПСЖ ,0,1
21,Лорьян , Сошо ,1,1
21,Лион , Дижон ,3,1
21,Ницца , Монпелье ,0,1
21,Тулуза , Кан ,1,0
21,Лилль , Сент-Этьен ,3,0
21,Эвиан , Бордо ,0,0
21,Валансьен , Аяччо ,1,2
21,Ренн , Марсель ,1,2
22,Дижон , Валансьен ,1,2
22,Нанси , Ренн ,0,0
22,Аяччо , Ницца ,1,1
22,Монпелье , Брест ,1,0
22,ПСЖ , Эвиан ,3,1
22,Бордо , Тулуза ,2,0
22,Марсель , Лион ,2,2
22,Кан , Осер ,2,1
22,Сент-Этьен , Лорьян ,4,2
22,Сошо , Лилль ,0,1
23,Осер , Лорьян ,1,1
23,Лион , Кан ,1,2
23,Монпелье , Аяччо ,3,0
23,Валансьен , Нанси ,1,0
23,Ренн , Сошо ,1,0
23,Брест , Дижон ,1,1
23,Лилль , Бордо ,4,5
23,Ницца , ПСЖ ,0,0
23,Тулуза , Сент-Этьен ,0,1
23,Эвиан , Марсель ,2,0
24,Аяччо , Брест ,0,0
24,Кан , Эвиан ,2,2
24,Дижон , Ницца ,3,0
24,Лорьян , Лилль ,0,1
24,Нанси , Тулуза ,0,3
24,Сошо , Осер ,0,0
24,Марсель , Валансьен ,1,1
24,Бордо , Лион ,1,0
24,Сент-Этьен , Ренн ,4,0
24,ПСЖ , Монпелье ,2,2
25,Аяччо , Дижон ,2,1
25,Осер , Сент-Этьен ,0,0
25,Эвиан , Нанси ,2,0
25,Монпелье , Бордо ,1,0
25,Ницца , Кан ,1,0
25,Валансьен , Лорьян ,2,0
25,Лион , ПСЖ ,4,4
25,Брест , Марсель ,1,0
25,Тулуза , Сошо ,2,0
25,Ренн , Лилль ,1,1
26,Дижон , Монпелье ,1,1
26,Лилль , Осер ,2,2
26,Марсель , Тулуза ,0,1
26,Нанси , Лион ,2,0
26,Сент-Этьен , Эвиан ,0,2
26,Сошо , Валансьен ,1,1
26,Бордо , Ницца ,1,2
26,Кан , Брест ,0,0
26,ПСЖ , Аяччо ,4,1
26,Лорьян , Ренн ,0,2
27,Аяччо , Марсель ,1,0
27,Брест , Бордо ,0,2
27,Эвиан , Сошо ,2,3
27,Ницца , Нанси ,1,1
27,Тулуза , Лорьян ,1,1
27,Валансьен , Сент-Этьен ,1,2
27,Лион , Лилль ,2,1
27,Дижон , ПСЖ ,1,2
27,Ренн , Осер ,1,1
27,Монпелье , Кан ,3,0
28,Осер , Эвиан ,0,2
28,Бордо , Аяччо ,1,1
28,Кан , ПСЖ ,2,2
28,Лорьян , Брест ,2,1
28,Марсель , Дижон ,1,2
28,Нанси , Монпелье ,1,0
28,Сент-Этьен , Лион ,0,1
28,Ренн , Тулуза ,0,1
28,Сошо , Ницца ,2,0
28,Лилль , Валансьен ,4,0
29,Аяччо , Лорьян ,1,1
29,Брест , Нанси ,0,1
29,Эвиан , Лилль ,0,3
29,Лион , Сошо ,2,1
29,Монпелье , Сент-Этьен ,1,0
29,Ницца , Марсель ,1,1
29,Валансьен , Ренн ,1,0
29,Дижон , Кан ,2,0
29,Тулуза , Осер ,1,0
29,ПСЖ , Бордо ,1,1
30,Осер , Валансьен ,2,0
30,Бордо , Дижон ,1,1
30,Лорьян , Эвиан ,0,1
30,Сент-Этьен , Ницца ,2,3
30,Сошо , Брест ,2,1
30,Нанси , ПСЖ ,2,1
30,Кан , Аяччо ,0,0
30,Лилль , Тулуза ,2,1
30,Ренн , Лион ,1,1
30,Марсель , Монпелье ,1,3
31,Аяччо , Сент-Этьен ,1,1
31,Брест , Лилль ,3,1
31,Дижон , Нанси ,0,2
31,Эвиан , Ренн ,1,3
31,Монпелье , Сошо ,2,1
31,Валансьен , Тулуза ,2,0
31,Лион , Осер ,2,1
31,Кан , Бордо ,1,0
31,Ницца , Лорьян ,2,0
31,ПСЖ , Марсель ,2,1
32,Лилль , Аяччо ,4,1
32,Лорьян , Монпелье ,2,1
32,Нанси , Бордо ,2,2
32,Сент-Этьен , Брест ,2,1
32,Сошо , Дижон ,1,0
32,Валансьен , Эвиан ,0,3
32,Осер , ПСЖ ,1,1
32,Ренн , Ницца ,3,1
32,Марсель , Кан ,1,1
32,Тулуза , Лион ,3,0
33,Брест , Ренн ,0,1
33,Кан , Сент-Этьен ,1,4
33,Дижон , Лилль ,0,2
33,Эвиан , Тулуза ,2,1
33,Монпелье , Валансьен ,1,0
33,Ницца , Осер ,1,0
33,Бордо , Марсель ,2,1
33,Аяччо , Нанси ,0,0
33,ПСЖ , Сошо ,6,1
33,Лион , Лорьян ,3,2
34,Тулуза , Монпелье ,0,1
34,Лорьян , Марсель ,2,1
34,Осер , Брест ,4,0
34,Нанси , Кан ,1,1
34,Ренн , Аяччо ,3,1
34,Сент-Этьен , Дижон ,1,0
34,Сошо , Бордо ,0,3
34,Валансьен , Ницца ,2,0
34,Лилль , ПСЖ ,2,1
34,Эвиан , Лион ,1,3
35,Монпелье , Эвиан ,2,2
35,Аяччо , Сошо ,2,1
35,Бордо , Ренн ,2,0
35,Брест , Тулуза ,0,0
35,Кан , Лорьян ,1,0
35,Лион , Валансьен ,4,1
35,Марсель , Нанси ,1,0
35,Ницца , Лилль ,0,1
35,ПСЖ , Сент-Этьен ,2,0
35,Дижон , Осер ,0,2
36,Эвиан , Аяччо ,2,1
36,Лион , Брест ,1,1
36,Валансьен , ПСЖ ,3,4
36,Осер , Бордо ,2,4
36,Лилль , Кан ,3,0
36,Лорьян , Дижон ,0,0
36,Сент-Этьен , Марсель ,0,0
36,Сошо , Нанси ,1,0
36,Тулуза , Ницца ,0,0
36,Ренн , Монпелье ,0,2
37,Аяччо , Лион ,1,1
37,Бордо , Лорьян ,1,0
37,Брест , Валансьен ,1,0
37,Кан , Сошо ,1,3
37,Дижон , Тулуза ,1,1
37,Марсель , Осер ,3,0
37,Монпелье , Лилль ,1,0
37,Нанси , Сент-Этьен ,3,2
37,Ницца , Эвиан ,1,1
37,ПСЖ , Ренн ,3,0
38,Осер , Монпелье ,1,2
38,Эвиан , Брест ,0,1
38,Лилль , Нанси ,4,1
38,Лорьян , ПСЖ ,1,2
38,Лион , Ницца ,3,4
38,Ренн , Дижон ,5,0
38,Сент-Этьен , Бордо ,2,3
38,Сошо , Марсель ,1,0
38,Тулуза , Аяччо ,0,2
38,Валансьен , Кан ,3,1
