1,Манчестер Юнайтед , Тоттенхэм Хотспур ,1,0
1,Борнмут , Астон Вилла ,0,1
1,Норвич Сити , Кристал Пэлас ,1,3
1,Лестер Сити , Сандерленд ,4,2
1,Эвертон , Уотфорд ,2,2
1,Челси , Суонси Сити ,2,2
1,Ньюкасл Юнайтед , Саутгемптон ,2,2
1,Арсенал , Вест Хэм Юнайтед ,0,2
1,Сток Сити , Ливерпуль ,0,1
1,Вест Бромвич Альбион , Манчестер Сити ,0,3
2,Астон Вилла , Манчестер Юнайтед ,0,1
2,Саутгемптон , Эвертон ,0,3
2,Вест Хэм Юнайтед , Лестер Сити ,1,2
2,Суонси Сити , Ньюкасл Юнайтед ,2,0
2,Сандерленд , Норвич Сити ,1,3
2,Тоттенхэм Хотспур , Сток Сити ,2,2
2,Уотфорд , Вест Бромвич Альбион ,0,0
2,Кристал Пэлас , Арсенал ,1,2
2,Манчестер Сити , Челси ,3,0
2,Ливерпуль , Борнмут ,1,0
3,Манчестер Юнайтед , Ньюкасл Юнайтед ,0,0
3,Кристал Пэлас , Астон Вилла ,2,1
3,Вест Хэм Юнайтед , Борнмут ,3,4
3,Норвич Сити , Сток Сити ,1,1
3,Сандерленд , Суонси Сити ,1,1
3,Лестер Сити , Тоттенхэм Хотспур ,1,1
3,Вест Бромвич Альбион , Челси ,2,3
3,Эвертон , Манчестер Сити ,0,2
3,Уотфорд , Саутгемптон ,0,0
3,Арсенал , Ливерпуль ,0,0
4,Ньюкасл Юнайтед , Арсенал ,0,1
4,Челси , Кристал Пэлас ,1,2
4,Борнмут , Лестер Сити ,1,1
4,Астон Вилла , Сандерленд ,2,2
4,Манчестер Сити , Уотфорд ,2,0
4,Сток Сити , Вест Бромвич Альбион ,0,1
4,Ливерпуль , Вест Хэм Юнайтед ,0,3
4,Тоттенхэм Хотспур , Эвертон ,0,0
4,Саутгемптон , Норвич Сити ,3,0
4,Суонси Сити , Манчестер Юнайтед ,2,1
5,Эвертон , Челси ,3,1
5,Норвич Сити , Борнмут ,3,1
5,Кристал Пэлас , Манчестер Сити ,0,1
5,Вест Бромвич Альбион , Саутгемптон ,0,0
5,Арсенал , Сток Сити ,2,0
5,Уотфорд , Суонси Сити ,1,0
5,Манчестер Юнайтед , Ливерпуль ,3,1
5,Сандерленд , Тоттенхэм Хотспур ,0,1
5,Лестер Сити , Астон Вилла ,3,2
5,Вест Хэм Юнайтед , Ньюкасл Юнайтед ,2,0
6,Челси , Арсенал ,2,0
6,Суонси Сити , Эвертон ,0,0
6,Сток Сити , Лестер Сити ,2,2
6,Борнмут , Сандерленд ,2,0
6,Ньюкасл Юнайтед , Уотфорд ,1,2
6,Астон Вилла , Вест Бромвич Альбион ,0,1
6,Манчестер Сити , Вест Хэм Юнайтед ,1,2
6,Тоттенхэм Хотспур , Кристал Пэлас ,1,0
6,Саутгемптон , Манчестер Юнайтед ,2,3
6,Ливерпуль , Норвич Сити ,1,1
7,Тоттенхэм Хотспур , Манчестер Сити ,4,1
7,Лестер Сити , Арсенал ,2,5
7,Ливерпуль , Астон Вилла ,3,2
7,Сток Сити , Борнмут ,2,1
7,Вест Хэм Юнайтед , Норвич Сити ,2,2
7,Манчестер Юнайтед , Сандерленд ,3,0
7,Саутгемптон , Суонси Сити ,3,1
7,Ньюкасл Юнайтед , Челси ,2,2
7,Уотфорд , Кристал Пэлас ,0,1
7,Вест Бромвич Альбион , Эвертон ,2,3
8,Кристал Пэлас , Вест Бромвич Альбион ,2,0
8,Норвич Сити , Лестер Сити ,1,2
8,Манчестер Сити , Ньюкасл Юнайтед ,6,1
8,Астон Вилла , Сток Сити ,0,1
8,Борнмут , Уотфорд ,1,1
8,Сандерленд , Вест Хэм Юнайтед ,2,2
8,Челси , Саутгемптон ,1,3
8,Эвертон , Ливерпуль ,1,1
8,Арсенал , Манчестер Юнайтед ,3,0
8,Суонси Сити , Тоттенхэм Хотспур ,2,2
9,Тоттенхэм Хотспур , Ливерпуль ,0,0
9,Челси , Астон Вилла ,2,0
9,Манчестер Сити , Борнмут ,5,1
9,Саутгемптон , Лестер Сити ,2,2
9,Эвертон , Манчестер Юнайтед ,0,3
9,Вест Бромвич Альбион , Сандерленд ,1,0
9,Кристал Пэлас , Вест Хэм Юнайтед ,1,3
9,Уотфорд , Арсенал ,0,3
9,Ньюкасл Юнайтед , Норвич Сити ,6,2
9,Суонси Сити , Сток Сити ,0,1
10,Вест Хэм Юнайтед , Челси ,2,1
10,Лестер Сити , Кристал Пэлас ,1,0
10,Астон Вилла , Суонси Сити ,1,2
10,Сток Сити , Уотфорд ,0,2
10,Норвич Сити , Вест Бромвич Альбион ,0,1
10,Арсенал , Эвертон ,2,1
10,Сандерленд , Ньюкасл Юнайтед ,3,0
10,Манчестер Юнайтед , Манчестер Сити ,0,0
10,Борнмут , Тоттенхэм Хотспур ,1,5
10,Ливерпуль , Саутгемптон ,1,1
11,Челси , Ливерпуль ,1,3
11,Суонси Сити , Арсенал ,0,3
11,Вест Бромвич Альбион , Лестер Сити ,2,3
11,Кристал Пэлас , Манчестер Юнайтед ,0,0
11,Манчестер Сити , Норвич Сити ,2,1
11,Ньюкасл Юнайтед , Сток Сити ,0,0
11,Уотфорд , Вест Хэм Юнайтед ,2,0
11,Эвертон , Сандерленд ,6,2
11,Саутгемптон , Борнмут ,2,0
11,Тоттенхэм Хотспур , Астон Вилла ,3,1
12,Борнмут , Ньюкасл Юнайтед ,0,1
12,Вест Хэм Юнайтед , Эвертон ,1,1
12,Сандерленд , Саутгемптон ,0,1
12,Норвич Сити , Суонси Сити ,1,0
12,Лестер Сити , Уотфорд ,2,1
12,Манчестер Юнайтед , Вест Бромвич Альбион ,2,0
12,Сток Сити , Челси ,1,0
12,Астон Вилла , Манчестер Сити ,0,0
12,Ливерпуль , Кристал Пэлас ,1,2
12,Арсенал , Тоттенхэм Хотспур ,1,1
13,Уотфорд , Манчестер Юнайтед ,1,2
13,Вест Бромвич Альбион , Арсенал ,2,1
13,Эвертон , Астон Вилла ,4,0
13,Суонси Сити , Борнмут ,2,2
13,Ньюкасл Юнайтед , Лестер Сити ,0,3
13,Челси , Норвич Сити ,1,0
13,Саутгемптон , Сток Сити ,0,1
13,Манчестер Сити , Ливерпуль ,1,4
13,Тоттенхэм Хотспур , Вест Хэм Юнайтед ,4,1
13,Кристал Пэлас , Сандерленд ,0,1
14,Борнмут , Эвертон ,3,3
14,Кристал Пэлас , Ньюкасл Юнайтед ,5,1
14,Манчестер Сити , Саутгемптон ,3,1
14,Сандерленд , Сток Сити ,2,0
14,Астон Вилла , Уотфорд ,2,3
14,Лестер Сити , Манчестер Юнайтед ,1,1
14,Тоттенхэм Хотспур , Челси ,0,0
14,Вест Хэм Юнайтед , Вест Бромвич Альбион ,1,1
14,Норвич Сити , Арсенал ,1,1
14,Ливерпуль , Суонси Сити ,1,0
15,Сток Сити , Манчестер Сити ,2,0
15,Саутгемптон , Астон Вилла ,1,1
15,Суонси Сити , Лестер Сити ,0,3
15,Уотфорд , Норвич Сити ,2,0
15,Арсенал , Сандерленд ,3,1
15,Вест Бромвич Альбион , Тоттенхэм Хотспур ,1,1
15,Манчестер Юнайтед , Вест Хэм Юнайтед ,0,0
15,Челси , Борнмут ,0,1
15,Ньюкасл Юнайтед , Ливерпуль ,2,0
15,Эвертон , Кристал Пэлас ,1,1
16,Норвич Сити , Эвертон ,1,1
16,Кристал Пэлас , Саутгемптон ,1,0
16,Вест Хэм Юнайтед , Сток Сити ,0,0
16,Манчестер Сити , Суонси Сити ,2,1
16,Сандерленд , Уотфорд ,0,1
16,Борнмут , Манчестер Юнайтед ,2,1
16,Астон Вилла , Арсенал ,0,2
16,Тоттенхэм Хотспур , Ньюкасл Юнайтед ,1,2
16,Ливерпуль , Вест Бромвич Альбион ,2,2
16,Лестер Сити , Челси ,2,1
17,Вест Бромвич Альбион , Борнмут ,1,2
17,Сток Сити , Кристал Пэлас ,1,2
17,Эвертон , Лестер Сити ,2,3
17,Манчестер Юнайтед , Норвич Сити ,1,2
17,Челси , Сандерленд ,3,1
17,Саутгемптон , Тоттенхэм Хотспур ,0,2
17,Ньюкасл Юнайтед , Астон Вилла ,1,1
17,Уотфорд , Ливерпуль ,3,0
17,Суонси Сити , Вест Хэм Юнайтед ,0,0
17,Арсенал , Манчестер Сити ,2,1
18,Сток Сити , Манчестер Юнайтед ,2,0
18,Борнмут , Кристал Пэлас ,0,0
18,Ливерпуль , Лестер Сити ,1,0
18,Тоттенхэм Хотспур , Норвич Сити ,3,0
18,Манчестер Сити , Сандерленд ,4,1
18,Челси , Уотфорд ,2,2
18,Суонси Сити , Вест Бромвич Альбион ,1,0
18,Астон Вилла , Вест Хэм Юнайтед ,1,1
18,Ньюкасл Юнайтед , Эвертон ,0,1
18,Саутгемптон , Арсенал ,4,0
19,Норвич Сити , Астон Вилла ,2,0
19,Вест Бромвич Альбион , Ньюкасл Юнайтед ,1,0
19,Эвертон , Сток Сити ,3,4
19,Кристал Пэлас , Суонси Сити ,0,0
19,Уотфорд , Тоттенхэм Хотспур ,1,2
19,Арсенал , Борнмут ,2,0
19,Манчестер Юнайтед , Челси ,0,0
19,Вест Хэм Юнайтед , Саутгемптон ,2,1
19,Лестер Сити , Манчестер Сити ,0,0
19,Сандерленд , Ливерпуль ,0,1
20,Вест Хэм Юнайтед , Ливерпуль ,2,0
20,Сандерленд , Астон Вилла ,3,1
20,Лестер Сити , Борнмут ,0,0
20,Арсенал , Ньюкасл Юнайтед ,1,0
20,Норвич Сити , Саутгемптон ,1,0
20,Вест Бромвич Альбион , Сток Сити ,2,1
20,Манчестер Юнайтед , Суонси Сити ,2,1
20,Уотфорд , Манчестер Сити ,1,2
20,Кристал Пэлас , Челси ,0,3
20,Эвертон , Тоттенхэм Хотспур ,1,1
21,Астон Вилла , Кристал Пэлас ,1,0
21,Борнмут , Вест Хэм Юнайтед ,1,3
21,Ньюкасл Юнайтед , Манчестер Юнайтед ,3,3
21,Суонси Сити , Сандерленд ,2,4
21,Манчестер Сити , Эвертон ,0,0
21,Сток Сити , Норвич Сити ,3,1
21,Саутгемптон , Уотфорд ,2,0
21,Челси , Вест Бромвич Альбион ,2,2
21,Ливерпуль , Арсенал ,3,3
21,Тоттенхэм Хотспур , Лестер Сити ,0,1
22,Тоттенхэм Хотспур , Сандерленд ,4,1
22,Манчестер Сити , Кристал Пэлас ,4,0
22,Челси , Эвертон ,3,3
22,Борнмут , Норвич Сити ,3,0
22,Саутгемптон , Вест Бромвич Альбион ,3,0
22,Ньюкасл Юнайтед , Вест Хэм Юнайтед ,2,1
22,Астон Вилла , Лестер Сити ,1,1
22,Ливерпуль , Манчестер Юнайтед ,0,1
22,Сток Сити , Арсенал ,0,0
22,Суонси Сити , Уотфорд ,1,0
23,Норвич Сити , Ливерпуль ,4,5
23,Вест Бромвич Альбион , Астон Вилла ,0,0
23,Сандерленд , Борнмут ,1,1
23,Уотфорд , Ньюкасл Юнайтед ,2,1
23,Манчестер Юнайтед , Саутгемптон ,0,1
23,Лестер Сити , Сток Сити ,3,0
23,Кристал Пэлас , Тоттенхэм Хотспур ,1,3
23,Вест Хэм Юнайтед , Манчестер Сити ,2,2
23,Эвертон , Суонси Сити ,1,2
23,Арсенал , Челси ,0,1
24,Вест Хэм Юнайтед , Астон Вилла ,2,0
24,Лестер Сити , Ливерпуль ,2,0
24,Сандерленд , Манчестер Сити ,0,1
24,Арсенал , Саутгемптон ,0,0
24,Норвич Сити , Тоттенхэм Хотспур ,0,3
24,Кристал Пэлас , Борнмут ,1,2
24,Манчестер Юнайтед , Сток Сити ,3,0
24,Вест Бромвич Альбион , Суонси Сити ,1,1
24,Уотфорд , Челси ,0,0
24,Эвертон , Ньюкасл Юнайтед ,3,0
25,Манчестер Сити , Лестер Сити ,1,3
25,Суонси Сити , Кристал Пэлас ,1,1
25,Сток Сити , Эвертон ,0,3
25,Астон Вилла , Норвич Сити ,2,0
25,Ливерпуль , Сандерленд ,2,2
25,Тоттенхэм Хотспур , Уотфорд ,1,0
25,Ньюкасл Юнайтед , Вест Бромвич Альбион ,1,0
25,Саутгемптон , Вест Хэм Юнайтед ,1,0
25,Борнмут , Арсенал ,0,2
25,Челси , Манчестер Юнайтед ,1,1
26,Сандерленд , Манчестер Юнайтед ,2,1
26,Суонси Сити , Саутгемптон ,0,1
26,Борнмут , Сток Сити ,1,3
26,Кристал Пэлас , Уотфорд ,1,2
26,Эвертон , Вест Бромвич Альбион ,0,1
26,Норвич Сити , Вест Хэм Юнайтед ,2,2
26,Челси , Ньюкасл Юнайтед ,5,1
26,Арсенал , Лестер Сити ,2,1
26,Астон Вилла , Ливерпуль ,0,6
26,Манчестер Сити , Тоттенхэм Хотспур ,1,2
27,Вест Хэм Юнайтед , Сандерленд ,1,0
27,Сток Сити , Астон Вилла ,2,1
27,Уотфорд , Борнмут ,0,0
27,Саутгемптон , Челси ,1,2
27,Лестер Сити , Норвич Сити ,1,0
27,Вест Бромвич Альбион , Кристал Пэлас ,3,2
27,Манчестер Юнайтед , Арсенал ,3,2
27,Тоттенхэм Хотспур , Суонси Сити ,2,1
28,Норвич Сити , Челси ,1,2
28,Сандерленд , Кристал Пэлас ,2,2
28,Астон Вилла , Эвертон ,1,3
28,Борнмут , Саутгемптон ,2,0
28,Лестер Сити , Вест Бромвич Альбион ,2,2
28,Арсенал , Суонси Сити ,1,2
28,Вест Хэм Юнайтед , Тоттенхэм Хотспур ,1,0
28,Сток Сити , Ньюкасл Юнайтед ,1,0
28,Ливерпуль , Манчестер Сити ,3,0
28,Манчестер Юнайтед , Уотфорд ,1,0
29,Тоттенхэм Хотспур , Арсенал ,2,2
29,Манчестер Сити , Астон Вилла ,4,0
29,Ньюкасл Юнайтед , Борнмут ,1,3
29,Суонси Сити , Норвич Сити ,1,0
29,Челси , Сток Сити ,1,1
29,Саутгемптон , Сандерленд ,1,1
29,Эвертон , Вест Хэм Юнайтед ,2,3
29,Уотфорд , Лестер Сити ,0,1
29,Кристал Пэлас , Ливерпуль ,1,2
29,Вест Бромвич Альбион , Манчестер Юнайтед ,1,0
30,Норвич Сити , Манчестер Сити ,0,0
30,Сток Сити , Саутгемптон ,1,2
30,Борнмут , Суонси Сити ,3,2
30,Астон Вилла , Тоттенхэм Хотспур ,0,2
30,Лестер Сити , Ньюкасл Юнайтед ,1,0
31,Эвертон , Арсенал ,0,2
31,Кристал Пэлас , Лестер Сити ,0,1
31,Вест Бромвич Альбион , Норвич Сити ,0,1
31,Уотфорд , Сток Сити ,1,2
31,Челси , Вест Хэм Юнайтед ,2,2
31,Суонси Сити , Астон Вилла ,1,0
31,Саутгемптон , Ливерпуль ,3,2
31,Ньюкасл Юнайтед , Сандерленд ,1,1
31,Тоттенхэм Хотспур , Борнмут ,3,0
31,Манчестер Сити , Манчестер Юнайтед ,0,1
32,Астон Вилла , Челси ,0,4
32,Вест Хэм Юнайтед , Кристал Пэлас ,2,2
32,Борнмут , Манчестер Сити ,0,4
32,Норвич Сити , Ньюкасл Юнайтед ,3,2
32,Сток Сити , Суонси Сити ,2,2
32,Арсенал , Уотфорд ,4,0
32,Сандерленд , Вест Бромвич Альбион ,0,0
32,Ливерпуль , Тоттенхэм Хотспур ,1,1
32,Лестер Сити , Саутгемптон ,1,0
32,Манчестер Юнайтед , Эвертон ,1,0
33,Вест Хэм Юнайтед , Арсенал ,-,- 
33,Астон Вилла , Борнмут ,-,- 
33,Суонси Сити , Челси ,-,- 
33,Уотфорд , Эвертон ,-,- 
33,Саутгемптон , Ньюкасл Юнайтед ,-,- 
33,Кристал Пэлас , Норвич Сити ,-,- 
33,Манчестер Сити , Вест Бромвич Альбион ,-,- 
33,Сандерленд , Лестер Сити ,-,- 
33,Тоттенхэм Хотспур , Манчестер Юнайтед ,-,- 
33,Ливерпуль , Сток Сити ,-,- 
35,Кристал Пэлас , Эвертон ,-,- 
34,Норвич Сити , Сандерленд ,-,- 
34,Манчестер Юнайтед , Астон Вилла ,-,- 
34,Эвертон , Саутгемптон ,-,- 
34,Ньюкасл Юнайтед , Суонси Сити ,-,- 
34,Вест Бромвич Альбион , Уотфорд ,-,- 
34,Челси , Манчестер Сити ,-,- 
34,Борнмут , Ливерпуль ,-,- 
34,Лестер Сити , Вест Хэм Юнайтед ,-,- 
34,Арсенал , Кристал Пэлас ,-,- 
34,Сток Сити , Тоттенхэм Хотспур ,-,- 
27,Ньюкасл Юнайтед , Манчестер Сити ,-,- 
30,Вест Хэм Юнайтед , Уотфорд ,-,- 
27,Ливерпуль , Эвертон ,-,- 
30,Манчестер Юнайтед , Кристал Пэлас ,-,- 
30,Арсенал , Вест Бромвич Альбион ,-,- 
35,Борнмут , Челси ,-,- 
35,Ливерпуль , Ньюкасл Юнайтед ,-,- 
35,Астон Вилла , Саутгемптон ,-,- 
35,Манчестер Сити , Сток Сити ,-,- 
35,Сандерленд , Арсенал ,-,- 
35,Лестер Сити , Суонси Сити ,-,- 
35,Тоттенхэм Хотспур , Вест Бромвич Альбион ,-,- 
36,Суонси Сити , Ливерпуль ,-,- 
36,Уотфорд , Астон Вилла ,-,- 
36,Эвертон , Борнмут ,-,- 
36,Ньюкасл Юнайтед , Кристал Пэлас ,-,- 
36,Сток Сити , Сандерленд ,-,- 
36,Вест Бромвич Альбион , Вест Хэм Юнайтед ,-,- 
36,Арсенал , Норвич Сити ,-,- 
36,Манчестер Юнайтед , Лестер Сити ,-,- 
36,Саутгемптон , Манчестер Сити ,-,- 
36,Челси , Тоттенхэм Хотспур ,-,- 
37,Норвич Сити , Манчестер Юнайтед ,-,- 
37,Сандерленд , Челси ,-,- 
37,Астон Вилла , Ньюкасл Юнайтед ,-,- 
37,Кристал Пэлас , Сток Сити ,-,- 
37,Вест Хэм Юнайтед , Суонси Сити ,-,- 
37,Ливерпуль , Уотфорд ,-,- 
37,Борнмут , Вест Бромвич Альбион ,-,- 
37,Лестер Сити , Эвертон ,-,- 
37,Тоттенхэм Хотспур , Саутгемптон ,-,- 
37,Манчестер Сити , Арсенал ,-,- 
35,Вест Хэм Юнайтед , Манчестер Юнайтед ,-,- 
30,Сандерленд , Эвертон ,-,- 
35,Норвич Сити , Уотфорд ,-,- 
30,Ливерпуль , Челси ,-,- 
38,Арсенал , Астон Вилла ,-,- 
38,Манчестер Юнайтед , Борнмут ,-,- 
38,Саутгемптон , Кристал Пэлас ,-,- 
38,Челси , Лестер Сити ,-,- 
38,Вест Бромвич Альбион , Ливерпуль ,-,- 
38,Суонси Сити , Манчестер Сити ,-,- 
38,Эвертон , Норвич Сити ,-,- 
38,Уотфорд , Сандерленд ,-,- 
38,Ньюкасл Юнайтед , Тоттенхэм Хотспур ,-,- 
38,Сток Сити , Вест Хэм Юнайтед ,-,- 
