1,Верона , Рома ,1,1
1,Лацио , Болонья ,2,1
1,Ювентус , Удинезе ,0,1
1,Эмполи , Кьево ,1,3
1,Фиорентина , Милан ,2,0
1,Фрозиноне , Торино ,1,2
1,Интер , Аталанта ,1,0
1,Палермо , Дженоа ,1,0
1,Сампдория , Карпи ,5,2
1,Сассуоло , Наполи ,2,1
2,Болонья , Сассуоло ,0,1
2,Милан , Эмполи ,2,1
2,Рома , Ювентус ,2,1
2,Аталанта , Фрозиноне ,2,0
2,Карпи , Интер ,1,2
2,Кьево , Лацио ,4,0
2,Дженоа , Верона ,2,0
2,Наполи , Сампдория ,2,2
2,Торино , Фиорентина ,3,1
2,Удинезе , Палермо ,0,1
3,Фиорентина , Дженоа ,1,0
3,Фрозиноне , Рома ,0,2
3,Ювентус , Кьево ,1,1
3,Верона , Торино ,2,2
3,Эмполи , Наполи ,2,2
3,Палермо , Карпи ,2,2
3,Сассуоло , Аталанта ,2,2
3,Лацио , Удинезе ,2,0
3,Интер , Милан ,1,0
3,Сампдория , Болонья ,2,0
4,Удинезе , Эмполи ,1,2
4,Милан , Палермо ,3,2
4,Кьево , Интер ,0,1
4,Аталанта , Верона ,1,1
4,Болонья , Фрозиноне ,1,0
4,Дженоа , Ювентус ,0,2
4,Рома , Сассуоло ,2,2
4,Торино , Сампдория ,2,0
4,Карпи , Фиорентина ,0,1
4,Наполи , Лацио ,5,0
5,Удинезе , Милан ,2,3
5,Карпи , Наполи ,0,0
5,Кьево , Торино ,1,0
5,Фиорентина , Болонья ,2,0
5,Интер , Верона ,1,0
5,Ювентус , Фрозиноне ,1,1
5,Лацио , Дженоа ,2,0
5,Палермо , Сассуоло ,0,1
5,Сампдория , Рома ,2,1
5,Эмполи , Аталанта ,0,1
6,Рома , Карпи ,5,1
6,Наполи , Ювентус ,2,1
6,Дженоа , Милан ,1,0
6,Болонья , Удинезе ,1,2
6,Верона , Лацио ,1,2
6,Сассуоло , Кьево ,1,1
6,Торино , Палермо ,2,1
6,Интер , Фиорентина ,1,4
6,Фрозиноне , Эмполи ,2,0
6,Аталанта , Сампдория ,2,1
7,Карпи , Торино ,2,1
7,Кьево , Верона ,1,1
7,Эмполи , Сассуоло ,1,0
7,Палермо , Рома ,2,4
7,Сампдория , Интер ,1,1
7,Удинезе , Дженоа ,1,1
7,Ювентус , Болонья ,3,1
7,Лацио , Фрозиноне ,2,0
7,Фиорентина , Аталанта ,3,0
7,Милан , Наполи ,0,4
8,Рома , Эмполи ,3,1
8,Торино , Милан ,1,1
8,Болонья , Палермо ,0,1
8,Аталанта , Карпи ,3,0
8,Фрозиноне , Сампдория ,2,0
8,Дженоа , Кьево ,3,2
8,Верона , Удинезе ,1,1
8,Наполи , Фиорентина ,2,1
8,Сассуоло , Лацио ,2,1
8,Интер , Ювентус ,0,0
9,Эмполи , Дженоа ,2,0
9,Карпи , Болонья ,1,2
9,Палермо , Интер ,1,1
9,Сампдория , Верона ,4,1
9,Ювентус , Аталанта ,2,0
9,Милан , Сассуоло ,2,1
9,Удинезе , Фрозиноне ,1,0
9,Фиорентина , Рома ,1,2
9,Лацио , Торино ,3,0
9,Кьево , Наполи ,0,1
10,Болонья , Интер ,0,1
10,Аталанта , Лацио ,2,1
10,Фрозиноне , Карпи ,2,1
10,Верона , Фиорентина ,0,2
10,Милан , Кьево ,1,0
10,Наполи , Палермо ,2,0
10,Рома , Удинезе ,3,1
10,Сассуоло , Ювентус ,1,0
10,Торино , Дженоа ,3,3
10,Сампдория , Эмполи ,1,1
11,Ювентус , Торино ,2,1
11,Интер , Рома ,1,0
11,Фиорентина , Фрозиноне ,4,1
11,Болонья , Аталанта ,3,0
11,Карпи , Верона ,0,0
11,Дженоа , Наполи ,0,0
11,Удинезе , Сассуоло ,0,0
11,Лацио , Милан ,1,3
11,Кьево , Сампдория ,1,1
11,Палермо , Эмполи ,0,1
12,Верона , Болонья ,0,2
12,Милан , Аталанта ,0,0
12,Торино , Интер ,0,1
12,Эмполи , Ювентус ,1,3
12,Фрозиноне , Дженоа ,2,2
12,Палермо , Кьево ,1,0
12,Рома , Лацио ,2,0
12,Сассуоло , Карпи ,1,0
12,Наполи , Удинезе ,1,0
12,Сампдория , Фиорентина ,0,2
13,Болонья , Рома ,2,2
13,Ювентус , Милан ,1,0
13,Верона , Наполи ,0,2
13,Аталанта , Торино ,0,1
13,Карпи , Кьево ,1,2
13,Фиорентина , Эмполи ,2,2
13,Дженоа , Сассуоло ,2,1
13,Лацио , Палермо ,1,1
13,Удинезе , Сампдория ,1,0
13,Интер , Фрозиноне ,4,0
14,Торино , Болонья ,2,0
14,Милан , Сампдория ,4,1
14,Кьево , Удинезе ,2,3
14,Фрозиноне , Верона ,3,2
14,Дженоа , Карпи ,1,2
14,Рома , Аталанта ,0,2
14,Эмполи , Лацио ,1,0
14,Палермо , Ювентус ,0,3
14,Сассуоло , Фиорентина ,1,1
14,Наполи , Интер ,2,1
15,Лацио , Ювентус ,0,2
15,Торино , Рома ,1,1
15,Интер , Дженоа ,1,0
15,Болонья , Наполи ,3,2
15,Аталанта , Палермо ,3,0
15,Фиорентина , Удинезе ,3,0
15,Фрозиноне , Кьево ,0,2
15,Верона , Эмполи ,0,1
15,Сампдория , Сассуоло ,1,3
15,Карпи , Милан ,0,0
16,Дженоа , Болонья ,0,1
16,Палермо , Фрозиноне ,4,1
16,Удинезе , Интер ,0,4
16,Кьево , Аталанта ,1,0
16,Эмполи , Карпи ,3,0
16,Милан , Верона ,1,1
16,Наполи , Рома ,0,0
16,Ювентус , Фиорентина ,3,1
16,Лацио , Сампдория ,1,1
17,Болонья , Эмполи ,2,3
17,Карпи , Ювентус ,2,3
17,Аталанта , Наполи ,1,3
17,Фиорентина , Кьево ,2,0
17,Верона , Сассуоло ,1,1
17,Рома , Дженоа ,2,0
17,Фрозиноне , Милан ,2,4
17,Сампдория , Палермо ,2,0
17,Торино , Удинезе ,0,1
17,Интер , Лацио ,1,2
18,Дженоа , Сампдория ,2,3
18,Удинезе , Аталанта ,2,1
18,Кьево , Рома ,3,3
18,Ювентус , Верона ,3,0
18,Лацио , Карпи ,0,0
18,Милан , Болонья ,0,1
18,Палермо , Фиорентина ,1,3
18,Сассуоло , Фрозиноне ,2,2
18,Эмполи , Интер ,0,1
18,Наполи , Торино ,2,1
19,Карпи , Удинезе ,2,1
19,Фиорентина , Лацио ,1,3
19,Рома , Милан ,1,1
19,Интер , Сассуоло ,0,1
19,Аталанта , Дженоа ,0,2
19,Болонья , Кьево ,0,1
19,Фрозиноне , Наполи ,1,5
19,Верона , Палермо ,0,1
19,Торино , Эмполи ,0,1
19,Сампдория , Ювентус ,1,2
20,Аталанта , Интер ,1,1
20,Торино , Фрозиноне ,4,2
20,Наполи , Сассуоло ,3,1
20,Дженоа , Палермо ,4,0
20,Кьево , Эмполи ,1,1
20,Рома , Верона ,1,1
20,Удинезе , Ювентус ,0,4
20,Болонья , Лацио ,2,2
20,Карпи , Сампдория ,2,1
20,Милан , Фиорентина ,2,0
16,Сассуоло , Торино ,1,1
21,Фрозиноне , Аталанта ,0,0
21,Эмполи , Милан ,2,2
21,Фиорентина , Торино ,2,0
21,Сассуоло , Болонья ,0,2
21,Интер , Карпи ,1,1
21,Лацио , Кьево ,4,1
21,Верона , Дженоа ,1,1
21,Сампдория , Наполи ,2,4
21,Палермо , Удинезе ,4,1
21,Ювентус , Рома ,1,0
22,Карпи , Палермо ,1,1
22,Аталанта , Сассуоло ,1,1
22,Рома , Фрозиноне ,3,1
22,Кьево , Ювентус ,0,4
22,Наполи , Эмполи ,5,1
22,Дженоа , Фиорентина ,0,0
22,Торино , Верона ,0,0
22,Удинезе , Лацио ,0,0
22,Болонья , Сампдория ,3,2
22,Милан , Интер ,3,0
23,Сассуоло , Рома ,0,2
23,Фрозиноне , Болонья ,1,0
23,Верона , Аталанта ,2,1
23,Фиорентина , Карпи ,2,1
23,Интер , Кьево ,1,0
23,Ювентус , Дженоа ,1,0
23,Палермо , Милан ,0,2
23,Лацио , Наполи ,0,2
23,Сампдория , Торино ,2,2
23,Эмполи , Удинезе ,1,1
24,Болонья , Фиорентина ,1,1
24,Дженоа , Лацио ,0,0
24,Верона , Интер ,3,3
24,Наполи , Карпи ,1,0
24,Торино , Кьево ,1,2
24,Фрозиноне , Ювентус ,0,2
24,Сассуоло , Палермо ,2,2
24,Милан , Удинезе ,1,1
24,Аталанта , Эмполи ,0,0
24,Рома , Сампдория ,2,1
25,Лацио , Верона ,5,2
25,Карпи , Рома ,1,3
25,Эмполи , Фрозиноне ,1,2
25,Кьево , Сассуоло ,1,1
25,Ювентус , Наполи ,1,0
25,Милан , Дженоа ,2,1
25,Сампдория , Аталанта ,0,0
25,Удинезе , Болонья ,0,1
25,Палермо , Торино ,1,3
25,Фиорентина , Интер ,2,1
26,Болонья , Ювентус ,0,0
26,Верона , Кьево ,3,1
26,Интер , Сампдория ,3,1
26,Торино , Карпи ,0,0
26,Сассуоло , Эмполи ,3,2
26,Аталанта , Фиорентина ,2,3
26,Дженоа , Удинезе ,2,1
26,Фрозиноне , Лацио ,0,0
26,Рома , Палермо ,5,0
26,Наполи , Милан ,1,1
27,Эмполи , Рома ,1,3
27,Милан , Торино ,1,0
27,Палермо , Болонья ,0,0
27,Карпи , Аталанта ,1,1
27,Сампдория , Фрозиноне ,2,0
27,Кьево , Дженоа ,1,0
27,Удинезе , Верона ,2,0
27,Ювентус , Интер ,2,0
27,Лацио , Сассуоло ,0,2
27,Фиорентина , Наполи ,1,1
28,Рома , Фиорентина ,4,1
28,Верона , Сампдория ,0,3
28,Наполи , Кьево ,3,1
28,Торино , Лацио ,1,1
28,Болонья , Карпи ,0,0
28,Дженоа , Эмполи ,1,0
28,Аталанта , Ювентус ,0,2
28,Сассуоло , Милан ,2,0
28,Фрозиноне , Удинезе ,2,0
28,Интер , Палермо ,3,1
29,Ювентус , Сассуоло ,1,0
29,Эмполи , Сампдория ,1,1
29,Интер , Болонья ,2,1
29,Кьево , Милан ,0,0
29,Карпи , Фрозиноне ,2,1
29,Фиорентина , Верона ,1,1
29,Удинезе , Рома ,1,2
29,Дженоа , Торино ,3,2
29,Лацио , Аталанта ,2,0
29,Палермо , Наполи ,0,1
30,Эмполи , Палермо ,0,0
30,Рома , Интер ,1,1
30,Аталанта , Болонья ,2,0
30,Верона , Карпи ,1,2
30,Сампдория , Кьево ,0,1
30,Фрозиноне , Фиорентина ,0,0
30,Торино , Ювентус ,1,4
30,Сассуоло , Удинезе ,1,1
30,Наполи , Дженоа ,3,1
30,Милан , Лацио ,1,1
31,Карпи , Сассуоло ,-,- 
31,Ювентус , Эмполи ,-,- 
31,Удинезе , Наполи ,-,- 
31,Дженоа , Фрозиноне ,-,- 
31,Аталанта , Милан ,-,- 
31,Кьево , Палермо ,-,- 
31,Лацио , Рома ,-,- 
31,Фиорентина , Сампдория ,-,- 
31,Интер , Торино ,-,- 
31,Болонья , Верона ,-,- 
32,Фрозиноне , Интер ,-,- 
32,Кьево , Карпи ,-,- 
32,Сассуоло , Дженоа ,-,- 
32,Милан , Ювентус ,-,- 
32,Эмполи , Фиорентина ,-,- 
32,Торино , Аталанта ,-,- 
32,Наполи , Верона ,-,- 
32,Сампдория , Удинезе ,-,- 
32,Палермо , Лацио ,-,- 
32,Рома , Болонья ,-,- 
33,Болонья , Торино ,-,- 
33,Карпи , Дженоа ,-,- 
33,Интер , Наполи ,-,- 
33,Аталанта , Рома ,-,- 
33,Удинезе , Кьево ,-,- 
33,Верона , Фрозиноне ,-,- 
33,Ювентус , Палермо ,-,- 
33,Фиорентина , Сассуоло ,-,- 
33,Лацио , Эмполи ,-,- 
33,Сампдория , Милан ,-,- 
34,Наполи , Болонья ,-,- 
34,Сассуоло , Сампдория ,-,- 
34,Палермо , Аталанта ,-,- 
34,Удинезе , Фиорентина ,-,- 
34,Кьево , Фрозиноне ,-,- 
34,Эмполи , Верона ,-,- 
34,Дженоа , Интер ,-,- 
34,Ювентус , Лацио ,-,- 
34,Рома , Торино ,-,- 
34,Милан , Карпи ,-,- 
35,Интер , Удинезе ,-,- 
35,Фрозиноне , Палермо ,-,- 
35,Аталанта , Кьево ,-,- 
35,Болонья , Дженоа ,-,- 
35,Сампдория , Лацио ,-,- 
35,Торино , Сассуоло ,-,- 
35,Фиорентина , Ювентус ,-,- 
35,Рома , Наполи ,-,- 
35,Верона , Милан ,-,- 
35,Карпи , Эмполи ,-,- 
36,Наполи , Аталанта ,-,- 
36,Эмполи , Болонья ,-,- 
36,Ювентус , Карпи ,-,- 
36,Кьево , Фиорентина ,-,- 
36,Милан , Фрозиноне ,-,- 
36,Сассуоло , Верона ,-,- 
36,Лацио , Интер ,-,- 
36,Дженоа , Рома ,-,- 
36,Палермо , Сампдория ,-,- 
36,Удинезе , Торино ,-,- 
37,Рома , Кьево ,-,- 
37,Интер , Эмполи ,-,- 
37,Сампдория , Дженоа ,-,- 
37,Верона , Ювентус ,-,- 
37,Карпи , Лацио ,-,- 
37,Болонья , Милан ,-,- 
37,Торино , Наполи ,-,- 
37,Фиорентина , Палермо ,-,- 
37,Фрозиноне , Сассуоло ,-,- 
37,Аталанта , Удинезе ,-,- 
38,Дженоа , Аталанта ,-,- 
38,Кьево , Болонья ,-,- 
38,Удинезе , Карпи ,-,- 
38,Лацио , Фиорентина ,-,- 
38,Наполи , Фрозиноне ,-,- 
38,Палермо , Верона ,-,- 
38,Сассуоло , Интер ,-,- 
38,Милан , Рома ,-,- 
38,Ювентус , Сампдория ,-,- 
38,Эмполи , Торино ,-,- 
