1,Спартак , Уфа ,2,2
1,ЦСКА , Рубин ,1,0
1,Ростов , Терек ,1,1
1,Зенит , Динамо ,2,1
1,Мордовия , Локомотив ,0,1
1,Анжи , Крылья Советов ,0,1
1,Амкар , Краснодар ,0,1
1,Кубань , Урал ,0,2
2,Крылья Советов , ЦСКА ,0,2
2,Уфа , Ростов ,1,2
2,Динамо , Мордовия ,2,2
2,Терек , Кубань ,1,1
2,Урал , Зенит ,1,4
2,Рубин , Амкар ,0,2
2,Краснодар , Спартак ,0,1
2,Анжи , Локомотив ,1,3
3,Кубань , Уфа ,1,1
3,Амкар , Крылья Советов ,1,0
3,Зенит , Терек ,3,0
3,ЦСКА , Анжи ,1,0
3,Локомотив , Динамо ,1,1
3,Мордовия , Урал ,1,1
3,Ростов , Краснодар ,0,0
3,Спартак , Рубин ,1,0
4,Терек , Мордовия ,0,0
4,Урал , Локомотив ,1,3
4,Анжи , Динамо ,2,3
4,ЦСКА , Амкар ,2,0
4,Уфа , Зенит ,0,1
4,Крылья Советов , Спартак ,0,2
4,Рубин , Ростов ,0,3
4,Краснодар , Кубань ,1,1
5,Амкар , Анжи ,1,1
5,Спартак , ЦСКА ,1,2
5,Зенит , Краснодар ,0,2
5,Кубань , Рубин ,0,1
5,Локомотив , Терек ,0,0
5,Динамо , Урал ,1,0
5,Ростов , Крылья Советов ,1,1
5,Мордовия , Уфа ,0,1
6,Терек , Динамо ,1,1
6,Амкар , Спартак ,1,3
6,ЦСКА , Ростов ,2,1
6,Анжи , Урал ,1,1
6,Уфа , Локомотив ,0,3
6,Краснодар , Мордовия ,0,0
6,Крылья Советов , Кубань ,3,0
6,Рубин , Зенит ,1,3
7,Урал , Терек ,3,3
7,Ростов , Амкар ,1,0
7,Динамо , Уфа ,2,0
7,Зенит , Крылья Советов ,1,3
7,Спартак , Анжи ,1,2
7,Локомотив , Краснодар ,2,1
7,Мордовия , Рубин ,2,1
7,Кубань , ЦСКА ,0,1
8,ЦСКА , Зенит ,2,2
8,Амкар , Кубань ,1,1
8,Рубин , Локомотив ,3,1
8,Спартак , Ростов ,1,0
8,Краснодар , Динамо ,4,0
8,Анжи , Терек ,0,2
8,Уфа , Урал ,0,1
8,Крылья Советов , Мордовия ,1,0
9,Ростов , Анжи ,1,0
9,Терек , Уфа ,4,1
9,Кубань , Спартак ,3,0
9,Мордовия , ЦСКА ,4,6
9,Зенит , Амкар ,1,1
9,Локомотив , Крылья Советов ,2,0
9,Урал , Краснодар ,3,1
9,Динамо , Рубин ,0,0
10,ЦСКА , Локомотив ,1,1
10,Анжи , Уфа ,1,1
10,Спартак , Зенит ,2,2
10,Крылья Советов , Динамо ,0,0
10,Краснодар , Терек ,1,1
10,Рубин , Урал ,1,2
10,Амкар , Мордовия ,2,1
10,Ростов , Кубань ,2,1
11,Урал , Крылья Советов ,1,1
11,Мордовия , Спартак ,0,1
11,Зенит , Ростов ,3,0
11,Кубань , Анжи ,1,1
11,Динамо , ЦСКА ,0,2
11,Терек , Рубин ,2,1
11,Уфа , Краснодар ,1,1
11,Локомотив , Амкар ,3,0
12,ЦСКА , Урал ,3,2
12,Амкар , Динамо ,1,1
12,Кубань , Зенит ,2,2
12,Рубин , Уфа ,3,1
12,Спартак , Локомотив ,1,2
12,Крылья Советов , Терек ,0,2
12,Анжи , Краснодар ,2,2
12,Ростов , Мордовия ,3,2
13,Уфа , Крылья Советов ,1,0
13,Урал , Амкар ,3,1
13,Мордовия , Кубань ,1,1
13,Зенит , Анжи ,5,1
13,Динамо , Спартак ,2,3
13,Краснодар , Рубин ,2,1
13,Терек , ЦСКА ,0,0
13,Локомотив , Ростов ,0,2
14,ЦСКА , Уфа ,2,0
14,Зенит , Мордовия ,0,0
14,Крылья Советов , Краснодар ,0,4
14,Анжи , Рубин ,1,2
14,Кубань , Локомотив ,6,2
14,Спартак , Урал ,0,1
14,Амкар , Терек ,1,0
14,Ростов , Динамо ,1,0
15,Мордовия , Анжи ,4,0
15,Урал , Ростов ,1,2
15,Уфа , Амкар ,2,1
15,Динамо , Кубань ,2,1
15,Терек , Спартак ,2,1
15,Рубин , Крылья Советов ,2,0
15,Краснодар , ЦСКА ,2,1
15,Локомотив , Зенит ,2,0
16,Амкар , Рубин ,1,2
16,ЦСКА , Крылья Советов ,0,2
16,Зенит , Урал ,3,0
16,Локомотив , Анжи ,0,2
16,Мордовия , Динамо ,1,1
16,Кубань , Терек ,2,2
16,Спартак , Краснодар ,3,2
16,Ростов , Уфа ,1,1
17,Урал , Мордовия ,3,1
17,Уфа , Кубань ,2,2
17,Крылья Советов , Амкар ,0,0
17,Терек , Зенит ,4,1
17,Анжи , ЦСКА ,1,1
17,Краснодар , Ростов ,2,1
17,Динамо , Локомотив ,2,2
17,Рубин , Спартак ,2,2
18,Амкар , ЦСКА ,2,0
18,Мордовия , Терек ,0,0
18,Зенит , Уфа ,1,1
18,Динамо , Анжи ,1,2
18,Спартак , Крылья Советов ,1,0
18,Локомотив , Урал ,2,2
18,Кубань , Краснодар ,2,3
18,Ростов , Рубин ,1,0
19,Крылья Советов , Ростов ,0,1
19,Рубин , Кубань ,1,0
19,Краснодар , Зенит ,0,0
19,Уфа , Мордовия ,1,1
19,Терек , Локомотив ,2,1
19,ЦСКА , Спартак ,1,0
19,Урал , Динамо ,1,1
19,Анжи , Амкар ,0,1
20,Кубань , Крылья Советов ,2,0
20,Урал , Анжи ,4,2
20,Спартак , Амкар ,2,1
20,Ростов , ЦСКА ,2,0
20,Мордовия , Краснодар ,0,1
20,Локомотив , Уфа ,2,0
20,Зенит , Рубин ,4,2
20,Динамо , Терек ,0,1
21,Амкар , Ростов ,0,0
21,Анжи , Спартак ,0,4
21,Уфа , Динамо ,0,1
21,Терек , Урал ,1,1
21,ЦСКА , Кубань ,2,0
21,Крылья Советов , Зенит ,0,2
21,Рубин , Мордовия ,1,1
21,Краснодар , Локомотив ,1,2
22,Урал , Уфа ,-,- 
22,Терек , Анжи ,-,- 
22,Кубань , Амкар ,-,- 
22,Ростов , Спартак ,-,- 
22,Мордовия , Крылья Советов ,-,- 
22,Локомотив , Рубин ,-,- 
22,Зенит , ЦСКА ,-,- 
22,Динамо , Краснодар ,-,- 
23,Анжи , Ростов ,-,- 
23,Амкар , Зенит ,-,- 
23,ЦСКА , Мордовия ,-,- 
23,Рубин , Динамо ,-,- 
23,Уфа , Терек ,-,- 
23,Краснодар , Урал ,-,- 
23,Спартак , Кубань ,-,- 
23,Крылья Советов , Локомотив ,-,- 
24,Мордовия , Амкар ,-,- 
24,Терек , Краснодар ,-,- 
24,Локомотив , ЦСКА ,-,- 
24,Зенит , Спартак ,-,- 
24,Уфа , Анжи ,-,- 
24,Динамо , Крылья Советов ,-,- 
24,Кубань , Ростов ,-,- 
24,Урал , Рубин ,-,- 
25,Крылья Советов , Урал ,-,- 
25,Спартак , Мордовия ,-,- 
25,Рубин , Терек ,-,- 
25,Амкар , Локомотив ,-,- 
25,Краснодар , Уфа ,-,- 
25,ЦСКА , Динамо ,-,- 
25,Ростов , Зенит ,-,- 
25,Анжи , Кубань ,-,- 
26,Динамо , Амкар ,-,- 
26,Урал , ЦСКА ,-,- 
26,Зенит , Кубань ,-,- 
26,Локомотив , Спартак ,-,- 
26,Уфа , Рубин ,-,- 
26,Мордовия , Ростов ,-,- 
26,Терек , Крылья Советов ,-,- 
26,Краснодар , Анжи ,-,- 
27,Крылья Советов , Уфа ,-,- 
27,Ростов , Локомотив ,-,- 
27,ЦСКА , Терек ,-,- 
27,Анжи , Зенит ,-,- 
27,Кубань , Мордовия ,-,- 
27,Рубин , Краснодар ,-,- 
27,Амкар , Урал ,-,- 
27,Спартак , Динамо ,-,- 
28,Уфа , ЦСКА ,-,- 
28,Рубин , Анжи ,-,- 
28,Краснодар , Крылья Советов ,-,- 
28,Локомотив , Кубань ,-,- 
28,Мордовия , Зенит ,-,- 
28,Урал , Спартак ,-,- 
28,Терек , Амкар ,-,- 
28,Динамо , Ростов ,-,- 
29,Крылья Советов , Рубин ,-,- 
29,Анжи , Мордовия ,-,- 
29,Зенит , Локомотив ,-,- 
29,Амкар , Уфа ,-,- 
29,ЦСКА , Краснодар ,-,- 
29,Кубань , Динамо ,-,- 
29,Ростов , Урал ,-,- 
29,Спартак , Терек ,-,- 
30,Крылья Советов , Анжи ,-,- 
30,Динамо , Зенит ,-,- 
30,Рубин , ЦСКА ,-,- 
30,Краснодар , Амкар ,-,- 
30,Уфа , Спартак ,-,- 
30,Терек , Ростов ,-,- 
30,Урал , Кубань ,-,- 
30,Локомотив , Мордовия ,-,- 
